trace_number,ffid,sx,sy,gx,gy
213,2,1013.333,0,850,0
214,2,1013.333,0,900,0
215,2,1013.333,0,950,0
216,2,1013.333,0,1000,0
217,2,1013.333,0,1050,0
218,2,1013.333,0,1100,0
219,2,1013.333,0,1150,0
220,2,1013.333,0,1200,0
221,2,1013.333,0,1250,0
222,2,1013.333,0,1300,0
223,2,1013.333,0,1350,0
224,2,1013.333,0,1400,0
225,2,1013.333,0,1450,0
226,2,1013.333,0,1500,0
227,2,1013.333,0,1550,0
228,2,1013.333,0,1600,0
229,2,1013.333,0,1650,0
230,2,1013.333,0,1700,0
231,2,1013.333,0,1750,0
232,2,1013.333,0,1800,0
233,2,1013.333,0,1850,0
234,2,1013.333,0,1900,0
235,2,1013.333,0,1950,0
236,2,1013.333,0,2000,0
237,2,1013.333,0,2050,0
238,2,1013.333,0,2100,0
239,2,1013.333,0,2150,0
240,2,1013.333,0,2200,0
241,2,1013.333,0,2250,0
242,2,1013.333,0,2300,0
243,2,1013.333,0,2350,0
244,2,1013.333,0,2400,0
245,2,1013.333,0,2450,0
246,2,1013.333,0,2500,0
247,2,1013.333,0,2550,0
248,2,1013.333,0,2600,0
249,2,1013.333,0,2650,0
250,2,1013.333,0,2700,0
251,2,1013.333,0,2750,0
252,2,1013.333,0,2800,0
253,2,1013.333,0,2850,0
254,2,1013.333,0,2900,0
255,2,1013.333,0,2950,0
256,2,1013.333,0,3000,0
257,2,1013.333,0,3050,0
258,2,1013.333,0,3100,0
259,2,1013.333,0,3150,0
260,2,1013.333,0,3200,0
261,2,1013.333,0,3250,0
262,2,1013.333,0,3300,0
263,2,1013.333,0,3350,0
264,2,1013.333,0,3400,0
265,2,1013.333,0,3450,0
266,2,1013.333,0,3500,0
267,2,1013.333,0,3550,0
268,2,1013.333,0,3600,0
269,2,1013.333,0,3650,0
270,2,1013.333,0,3700,0
271,2,1013.333,0,3750,0
272,2,1013.333,0,3800,0
273,2,1013.333,0,3850,0
274,2,1013.333,0,3900,0
275,2,1013.333,0,3950,0
276,2,1013.333,0,4000,0
277,2,1013.333,0,4050,0
278,2,1013.333,0,4100,0
279,2,1013.333,0,4150,0
280,2,1013.333,0,4200,0
281,2,1013.333,0,4250,0
282,2,1013.333,0,4300,0
283,2,1013.333,0,4350,0
284,2,1013.333,0,4400,0
285,2,1013.333,0,4450,0
286,2,1013.333,0,4500,0
287,2,1013.333,0,4550,0
288,2,1013.333,0,4600,0
289,2,1013.333,0,4650,0
290,2,1013.333,0,4700,0
291,2,1013.333,0,4750,0
292,2,1013.333,0,4800,0
293,2,1013.333,0,4850,0
294,2,1013.333,0,4900,0
295,2,1013.333,0,4950,0
296,2,1013.333,0,5000,0
297,2,1013.333,0,5050,0
298,2,1013.333,0,5100,0
299,2,1013.333,0,5150,0
300,2,1013.333,0,5200,0
301,2,1013.333,0,5250,0
302,2,1013.333,0,5300,0
303,2,1013.333,0,5350,0
304,2,1013.333,0,5400,0
305,2,1013.333,0,5450,0
306,2,1013.333,0,5500,0
307,2,1013.333,0,5550,0
308,2,1013.333,0,5600,0
309,2,1013.333,0,5650,0
310,2,1013.333,0,5700,0
311,2,1013.333,0,5750,0
312,2,1013.333,0,5800,0
313,2,1013.333,0,5850,0
314,2,1013.333,0,5900,0
315,2,1013.333,0,5950,0
316,2,1013.333,0,6000,0
317,2,1013.333,0,6050,0
318,2,1013.333,0,6100,0
319,2,1013.333,0,6150,0
320,2,1013.333,0,6200,0
321,2,1013.333,0,6250,0
322,2,1013.333,0,6300,0
323,2,1013.333,0,6350,0
324,2,1013.333,0,6400,0
325,2,1013.333,0,6450,0
326,2,1013.333,0,6500,0
327,2,1013.333,0,6550,0
328,2,1013.333,0,6600,0
329,2,1013.333,0,6650,0
330,2,1013.333,0,6700,0
331,2,1013.333,0,6750,0
332,2,1013.333,0,6800,0
333,2,1013.333,0,6850,0
334,2,1013.333,0,6900,0
335,2,1013.333,0,6950,0
336,2,1013.333,0,7000,0
337,2,1013.333,0,7050,0
338,2,1013.333,0,7100,0
339,2,1013.333,0,7150,0
340,2,1013.333,0,7200,0
341,2,1013.333,0,7250,0
342,2,1013.333,0,7300,0
343,2,1013.333,0,7350,0
344,2,1013.333,0,7400,0
345,2,1013.333,0,7450,0
346,2,1013.333,0,7500,0
347,2,1013.333,0,7550,0
348,2,1013.333,0,7600,0
349,2,1013.333,0,7650,0
350,2,1013.333,0,7700,0
351,2,1013.333,0,7750,0
352,2,1013.333,0,7800,0
353,2,1013.333,0,7850,0
354,2,1013.333,0,7900,0
355,2,1013.333,0,7950,0
356,2,1013.333,0,8000,0
357,2,1013.333,0,8050,0
358,2,1013.333,0,8100,0
359,2,1013.333,0,8150,0
360,2,1013.333,0,8200,0
361,2,1013.333,0,8250,0
362,2,1013.333,0,8300,0
363,2,1013.333,0,8350,0
364,2,1013.333,0,8400,0
365,2,1013.333,0,8450,0
366,2,1013.333,0,8500,0
367,2,1013.333,0,8550,0
368,2,1013.333,0,8600,0
369,2,1013.333,0,8650,0
370,2,1013.333,0,8700,0
371,2,1013.333,0,8750,0
372,2,1013.333,0,8800,0
373,2,1013.333,0,8850,0
374,2,1013.333,0,8900,0
375,2,1013.333,0,8950,0
376,2,1013.333,0,9000,0
377,2,1013.333,0,9050,0
378,2,1013.333,0,9100,0
379,2,1013.333,0,9150,0
380,2,1013.333,0,9200,0
381,2,1013.333,0,9250,0
382,2,1013.333,0,9300,0
383,2,1013.333,0,9350,0
384,2,1013.333,0,9400,0
385,2,1013.333,0,9450,0
386,2,1013.333,0,9500,0
387,2,1013.333,0,9550,0
388,2,1013.333,0,9600,0
389,2,1013.333,0,9650,0
390,2,1013.333,0,9700,0
391,2,1013.333,0,9750,0
392,2,1013.333,0,9800,0
393,2,1013.333,0,9850,0
394,2,1013.333,0,9900,0
395,3,1626.667,0,100,0
396,3,1626.667,0,150,0
397,3,1626.667,0,200,0
398,3,1626.667,0,250,0
399,3,1626.667,0,300,0
400,3,1626.667,0,350,0
401,3,1626.667,0,400,0
402,3,1626.667,0,450,0
403,3,1626.667,0,500,0
404,3,1626.667,0,550,0
405,3,1626.667,0,600,0
406,3,1626.667,0,650,0
407,3,1626.667,0,700,0
408,3,1626.667,0,750,0
409,3,1626.667,0,800,0
410,3,1626.667,0,850,0
411,3,1626.667,0,900,0
412,3,1626.667,0,950,0
413,3,1626.667,0,1000,0
414,3,1626.667,0,1050,0
415,3,1626.667,0,1100,0
416,3,1626.667,0,1150,0
417,3,1626.667,0,1200,0
418,3,1626.667,0,1250,0
419,3,1626.667,0,1300,0
420,3,1626.667,0,1350,0
421,3,1626.667,0,1400,0
422,3,1626.667,0,1450,0
423,3,1626.667,0,1500,0
424,3,1626.667,0,1550,0
425,3,1626.667,0,1600,0
426,3,1626.667,0,1650,0
427,3,1626.667,0,1700,0
428,3,1626.667,0,1750,0
429,3,1626.667,0,1800,0
430,3,1626.667,0,1850,0
431,3,1626.667,0,1900,0
432,3,1626.667,0,1950,0
433,3,1626.667,0,2000,0
434,3,1626.667,0,2050,0
435,3,1626.667,0,2100,0
436,3,1626.667,0,2150,0
437,3,1626.667,0,2200,0
438,3,1626.667,0,2250,0
439,3,1626.667,0,2300,0
440,3,1626.667,0,2350,0
441,3,1626.667,0,2400,0
442,3,1626.667,0,2450,0
443,3,1626.667,0,2500,0
444,3,1626.667,0,2550,0
445,3,1626.667,0,2600,0
446,3,1626.667,0,2650,0
447,3,1626.667,0,2700,0
448,3,1626.667,0,2750,0
449,3,1626.667,0,2800,0
450,3,1626.667,0,2850,0
451,3,1626.667,0,2900,0
452,3,1626.667,0,2950,0
453,3,1626.667,0,3000,0
454,3,1626.667,0,3050,0
455,3,1626.667,0,3100,0
456,3,1626.667,0,3150,0
457,3,1626.667,0,3200,0
458,3,1626.667,0,3250,0
459,3,1626.667,0,3300,0
460,3,1626.667,0,3350,0
461,3,1626.667,0,3400,0
462,3,1626.667,0,3450,0
463,3,1626.667,0,3500,0
464,3,1626.667,0,3550,0
465,3,1626.667,0,3600,0
466,3,1626.667,0,3650,0
467,3,1626.667,0,3700,0
468,3,1626.667,0,3750,0
469,3,1626.667,0,3800,0
470,3,1626.667,0,3850,0
471,3,1626.667,0,3900,0
472,3,1626.667,0,3950,0
473,3,1626.667,0,4000,0
474,3,1626.667,0,4050,0
475,3,1626.667,0,4100,0
476,3,1626.667,0,4150,0
477,3,1626.667,0,4200,0
478,3,1626.667,0,4250,0
479,3,1626.667,0,4300,0
480,3,1626.667,0,4350,0
481,3,1626.667,0,4400,0
482,3,1626.667,0,4450,0
483,3,1626.667,0,4500,0
484,3,1626.667,0,4550,0
485,3,1626.667,0,4600,0
486,3,1626.667,0,4650,0
487,3,1626.667,0,4700,0
488,3,1626.667,0,4750,0
489,3,1626.667,0,4800,0
490,3,1626.667,0,4850,0
491,3,1626.667,0,4900,0
492,3,1626.667,0,4950,0
493,3,1626.667,0,5000,0
494,3,1626.667,0,5050,0
495,3,1626.667,0,5100,0
496,3,1626.667,0,5150,0
497,3,1626.667,0,5200,0
498,3,1626.667,0,5250,0
499,3,1626.667,0,5300,0
500,3,1626.667,0,5350,0
501,3,1626.667,0,5400,0
502,3,1626.667,0,5450,0
503,3,1626.667,0,5500,0
504,3,1626.667,0,5550,0
505,3,1626.667,0,5600,0
506,3,1626.667,0,5650,0
507,3,1626.667,0,5700,0
508,3,1626.667,0,5750,0
509,3,1626.667,0,5800,0
510,3,1626.667,0,5850,0
511,3,1626.667,0,5900,0
512,3,1626.667,0,5950,0
513,3,1626.667,0,6000,0
514,3,1626.667,0,6050,0
515,3,1626.667,0,6100,0
516,3,1626.667,0,6150,0
517,3,1626.667,0,6200,0
518,3,1626.667,0,6250,0
519,3,1626.667,0,6300,0
520,3,1626.667,0,6350,0
521,3,1626.667,0,6400,0
522,3,1626.667,0,6450,0
523,3,1626.667,0,6500,0
524,3,1626.667,0,6550,0
525,3,1626.667,0,6600,0
526,3,1626.667,0,6650,0
527,3,1626.667,0,6700,0
528,3,1626.667,0,6750,0
529,3,1626.667,0,6800,0
530,3,1626.667,0,6850,0
531,3,1626.667,0,6900,0
532,3,1626.667,0,6950,0
533,3,1626.667,0,7000,0
534,3,1626.667,0,7050,0
535,3,1626.667,0,7100,0
536,3,1626.667,0,7150,0
537,3,1626.667,0,7200,0
538,3,1626.667,0,7250,0
539,3,1626.667,0,7300,0
540,3,1626.667,0,7350,0
541,3,1626.667,0,7400,0
542,3,1626.667,0,7450,0
543,3,1626.667,0,7500,0
544,3,1626.667,0,7550,0
545,3,1626.667,0,7600,0
546,3,1626.667,0,7650,0
547,3,1626.667,0,7700,0
548,3,1626.667,0,7750,0
549,3,1626.667,0,7800,0
550,3,1626.667,0,7850,0
551,3,1626.667,0,7900,0
552,3,1626.667,0,7950,0
553,3,1626.667,0,8000,0
554,3,1626.667,0,8050,0
555,3,1626.667,0,8100,0
556,3,1626.667,0,8150,0
557,3,1626.667,0,8200,0
558,3,1626.667,0,8250,0
559,3,1626.667,0,8300,0
560,3,1626.667,0,8350,0
561,3,1626.667,0,8400,0
562,3,1626.667,0,8450,0
563,3,1626.667,0,8500,0
564,3,1626.667,0,8550,0
565,3,1626.667,0,8600,0
566,3,1626.667,0,8650,0
567,3,1626.667,0,8700,0
568,3,1626.667,0,8750,0
569,3,1626.667,0,8800,0
570,3,1626.667,0,8850,0
571,3,1626.667,0,8900,0
572,3,1626.667,0,8950,0
573,3,1626.667,0,9000,0
574,3,1626.667,0,9050,0
575,3,1626.667,0,9100,0
576,3,1626.667,0,9150,0
577,3,1626.667,0,9200,0
578,3,1626.667,0,9250,0
579,3,1626.667,0,9300,0
580,3,1626.667,0,9350,0
581,3,1626.667,0,9400,0
582,3,1626.667,0,9450,0
583,3,1626.667,0,9500,0
584,3,1626.667,0,9550,0
585,3,1626.667,0,9600,0
586,3,1626.667,0,9650,0
587,3,1626.667,0,9700,0
588,3,1626.667,0,9750,0
589,3,1626.667,0,9800,0
590,3,1626.667,0,9850,0
591,3,1626.667,0,9900,0
592,4,2240,0,100,0
593,4,2240,0,150,0
594,4,2240,0,200,0
595,4,2240,0,250,0
596,4,2240,0,300,0
597,4,2240,0,350,0
598,4,2240,0,400,0
599,4,2240,0,450,0
600,4,2240,0,500,0
601,4,2240,0,550,0
602,4,2240,0,600,0
603,4,2240,0,650,0
604,4,2240,0,700,0
605,4,2240,0,750,0
606,4,2240,0,800,0
607,4,2240,0,850,0
608,4,2240,0,900,0
609,4,2240,0,950,0
610,4,2240,0,1000,0
611,4,2240,0,1050,0
612,4,2240,0,1100,0
613,4,2240,0,1150,0
614,4,2240,0,1200,0
615,4,2240,0,1250,0
616,4,2240,0,1300,0
617,4,2240,0,1350,0
618,4,2240,0,1400,0
619,4,2240,0,1450,0
620,4,2240,0,1500,0
621,4,2240,0,1550,0
622,4,2240,0,1600,0
623,4,2240,0,1650,0
624,4,2240,0,1700,0
625,4,2240,0,1750,0
626,4,2240,0,1800,0
627,4,2240,0,1850,0
628,4,2240,0,1900,0
629,4,2240,0,1950,0
630,4,2240,0,2000,0
631,4,2240,0,2050,0
632,4,2240,0,2100,0
633,4,2240,0,2150,0
634,4,2240,0,2200,0
635,4,2240,0,2250,0
636,4,2240,0,2300,0
637,4,2240,0,2350,0
638,4,2240,0,2400,0
639,4,2240,0,2450,0
640,4,2240,0,2500,0
641,4,2240,0,2550,0
642,4,2240,0,2600,0
643,4,2240,0,2650,0
644,4,2240,0,2700,0
645,4,2240,0,2750,0
646,4,2240,0,2800,0
647,4,2240,0,2850,0
648,4,2240,0,2900,0
649,4,2240,0,2950,0
650,4,2240,0,3000,0
651,4,2240,0,3050,0
652,4,2240,0,3100,0
653,4,2240,0,3150,0
654,4,2240,0,3200,0
655,4,2240,0,3250,0
656,4,2240,0,3300,0
657,4,2240,0,3350,0
658,4,2240,0,3400,0
659,4,2240,0,3450,0
660,4,2240,0,3500,0
661,4,2240,0,3550,0
662,4,2240,0,3600,0
663,4,2240,0,3650,0
664,4,2240,0,3700,0
665,4,2240,0,3750,0
666,4,2240,0,3800,0
667,4,2240,0,3850,0
668,4,2240,0,3900,0
669,4,2240,0,3950,0
670,4,2240,0,4000,0
671,4,2240,0,4050,0
672,4,2240,0,4100,0
673,4,2240,0,4150,0
674,4,2240,0,4200,0
675,4,2240,0,4250,0
676,4,2240,0,4300,0
677,4,2240,0,4350,0
678,4,2240,0,4400,0
679,4,2240,0,4450,0
680,4,2240,0,4500,0
681,4,2240,0,4550,0
682,4,2240,0,4600,0
683,4,2240,0,4650,0
684,4,2240,0,4700,0
685,4,2240,0,4750,0
686,4,2240,0,4800,0
687,4,2240,0,4850,0
688,4,2240,0,4900,0
689,4,2240,0,4950,0
690,4,2240,0,5000,0
691,4,2240,0,5050,0
692,4,2240,0,5100,0
693,4,2240,0,5150,0
694,4,2240,0,5200,0
695,4,2240,0,5250,0
696,4,2240,0,5300,0
697,4,2240,0,5350,0
698,4,2240,0,5400,0
699,4,2240,0,5450,0
700,4,2240,0,5500,0
701,4,2240,0,5550,0
702,4,2240,0,5600,0
703,4,2240,0,5650,0
704,4,2240,0,5700,0
705,4,2240,0,5750,0
706,4,2240,0,5800,0
707,4,2240,0,5850,0
708,4,2240,0,5900,0
709,4,2240,0,5950,0
710,4,2240,0,6000,0
711,4,2240,0,6050,0
712,4,2240,0,6100,0
713,4,2240,0,6150,0
714,4,2240,0,6200,0
715,4,2240,0,6250,0
716,4,2240,0,6300,0
717,4,2240,0,6350,0
718,4,2240,0,6400,0
719,4,2240,0,6450,0
720,4,2240,0,6500,0
721,4,2240,0,6550,0
722,4,2240,0,6600,0
723,4,2240,0,6650,0
724,4,2240,0,6700,0
725,4,2240,0,6750,0
726,4,2240,0,6800,0
727,4,2240,0,6850,0
